atclNo,cortarNo,atclNm,latitude,longitude,realEstateTypeCode,realEstateTypeName,tradeTypeName,tradeTypeCode,atclCfmYmd,totalDongCount,totalHouseholdCount,floorAreaRatio,minArea,maxArea,representativeArea,spc1,spc2,spc1_pyeong,spc2_pyeong,direction,flrInfo,tagList,atclFetrDesc,rltrNm,cpNm,directTradYn,etRoomCnt,minMviFee,maxMviFee,sameAddrCnt,priceCount,isPresales,photoCount,dealCount,leaseCount,rentCount,shortTermRentCount,totalArticleCount,existPriceTab,isComplexTourExist,매매가,보증금,월세,매매_최저가,매매_최고가,전세_최저가,전세_최고가,월세_최저가,월세_최고가,매매유형,지하철역명,지하철_거리_미터,지하철_도보_분,초등학교,중학교,고등학교,구,동,매물유형,수집시간,단지명_정규화_단지정보,단지코드_단지정보,시군구_단지정보,세대수_단지정보,사용승인일_단지정보,법정동주소_단지정보,동수_단지정보,분양형태_단지정보,단지코드,시군구,세대수,사용승인일,법정동주소,동수,분양형태
2552440057,1168010600,상가주택,37.504336,127.05847,D05,상가주택,월세,B2,25.09.27.,0,0,0,0,0,0,101,20.0,30.55,6.05,남서향,2월 6일,"['25년이내', '올수리', '화장실한개', '방한개']","삼성역도보10분, 올수리로 컨디션최고, 1인거주월세",피플즈부동산 공인중개사사무소,부동산써브,N,0,0,0,1,0,False,0,0,0,0,0,0,False,False,1000,0,120,1000,1000,0,0,120,120,"매매, 월세",삼성역2호선,640,9,"서울대현초등학교, 서울도곡초등학교, 서울도성초등학교","대명중학교, 휘문중학교, 진선여자중학교","휘문고등학교, 단국대학교부속소프트웨어고등학교",강남구,대치동,단독다가구/주택,2025.10.8 10:44,,,,,,,,,,,,,,,
2552435900,1168010600,다가구,37.5028,127.054928,C03,단독/다가구,월세,B2,25.09.27.,0,0,0,0,0,0,0,29.4,0.0,8.89,남향,3월 5일,"['25년이내', '화장실한개', '방한개']",선릉역 도보 10분,더채움공인중개사사무소,부동산뱅크,N,0,0,0,2,0,False,0,0,0,0,0,0,False,False,3500,0,80,3500,3500,0,0,80,80,"매매, 월세",선릉역2호선,559,8,"서울도곡초등학교, 서울도성초등학교, 서울대현초등학교","진선여자중학교, 대명중학교, 휘문중학교","진선여자고등학교, 휘문고등학교, 단국대학교사범대학부속고등학교",강남구,대치동,단독다가구/주택,2025.10.8 10:44,,,,,,,,,,,,,,,
2552517072,1168010600,빌라,37.500924,127.056659,C02,빌라,단기임대,B3,25.09.27.,0,0,0,0,0,0,38,29.95,11.49,9.06,남향,중/5,"['2년이내', '소형평수', '화장실한개']",,한국공인중개사사무소,한경부동산,N,0,0,0,1,0,False,0,0,0,0,0,0,False,False,280,280,280,280,280,280,280,280,280,"매매, 전세, 월세",한티역수인분당선,612,9,"서울도곡초등학교, 서울도성초등학교, 서울대현초등학교","단국대학교사범대학 부속중학교, 휘문중학교, 대명중학교","단국대학교부속소프트웨어고등학교, 단국대학교사범대학부속고등학교, 휘문고등학교",강남구,대치동,단독다가구/주택,2025.10.8 10:44,,,,,,,,,,,,,,,
2552400705,1168010600,다가구,37.501653,127.052783,C03,단독/다가구,월세,B2,25.09.27.,0,0,0,0,0,0,59,52.34,17.85,15.83,남향,저/3,"['25년이상', '소형평수', '방두개']",,주식회사태원부동산중개,공실클럽,N,0,0,0,1,0,False,0,0,0,0,0,0,False,False,2000,0,75,2000,2000,0,0,75,75,"매매, 월세",선릉역2호선,462,6,"서울도곡초등학교, 서울도성초등학교, 서울대도초등학교","진선여자중학교, 역삼중학교, 단국대학교사범대학 부속중학교","진선여자고등학교, 단국대학교사범대학부속고등학교, 단국대학교부속소프트웨어고등학교",강남구,대치동,단독다가구/주택,2025.10.8 10:44,,,,,,,,,,,,,,,
2552485645,1168010600,빌라,37.502324,127.063513,C02,빌라,월세,B2,25.09.27.,0,0,0,0,0,0,61,59.0,18.45,17.85,남향,1월 2일,"['10년이내', '1층', '화장실두개', '소형평수']","3룸2욕실,보증금거실대,대현초인근,채광좋음,2021년 사용승인,컨디션 굿",장원공인중개사사무소,부동산써브,N,0,0,0,1,0,False,0,0,0,0,0,0,False,False,10000,0,240,10000,10000,0,0,240,240,"매매, 월세",삼성역2호선,723,10,"서울대현초등학교, 서울도곡초등학교, 서울대곡초등학교","휘문중학교, 대명중학교, 단국대학교사범대학 부속중학교","휘문고등학교, 단국대학교부속소프트웨어고등학교",강남구,대치동,단독다가구/주택,2025.10.8 10:44,,,,,,,,,,,,,,,
2552494060,1168010600,빌라,37.503141,127.055397,C02,빌라,전세,B1,25.09.27.,0,0,0,0,0,0,34,27.42,10.29,8.29,남향,4월 6일,"['10년이내', '화장실한개', '소형평수', '방두개']","방 2개 넓이 같음, 보안 좋고 주차, 엘리베이터, 즉시 입주 가능",강남해오름공인중개사,부동산뱅크,N,0,0,0,3,0,False,0,0,0,0,0,0,False,False,33000,0,0,33000,33000,0,0,0,0,매매,선릉역2호선,587,8,"서울도곡초등학교, 서울도성초등학교, 서울대현초등학교","대명중학교, 휘문중학교, 진선여자중학교","휘문고등학교, 진선여자고등학교, 단국대학교사범대학부속고등학교",강남구,대치동,단독다가구/주택,2025.10.8 10:44,,,,,,,,,,,,,,,
2551423932,1168010600,빌라,37.499518,127.057728,C02,빌라,월세,B2,25.09.22.,0,0,0,0,0,0,56,52.04,16.94,15.74,남동향,5월 5일,"['25년이내', '소형평수', '탑층']","학원가, 도곡초, 주민센터 가까운 대치동 다세대주택월세,전세 가능",주식회사태원부동산중개,공실클럽,N,0,0,0,1,0,False,0,0,0,0,0,0,False,False,30000,0,70,30000,30000,0,0,70,70,"매매, 월세",한티역수인분당선,556,8,"서울도곡초등학교, 서울대현초등학교, 서울도성초등학교","단국대학교사범대학 부속중학교, 휘문중학교, 대명중학교","단국대학교부속소프트웨어고등학교, 단국대학교사범대학부속고등학교, 휘문고등학교",강남구,대치동,단독다가구/주택,2025.10.8 10:44,,,,,,,,,,,,,,,
2552394859,1168010600,다가구,37.504427,127.059924,C03,단독/다가구,전세,B1,25.09.27.,0,0,0,0,0,0,38,33.0,11.49,9.98,남향,4월 4일,"['25년이내', '화장실한개', '소형평수']","관리비x 수도,인터넷,케이블 포함",주식회사태원부동산중개,공실클럽,N,0,0,0,1,0,False,0,0,0,0,0,0,False,False,20000,0,0,20000,20000,0,0,0,0,매매,삼성역2호선,560,8,"서울대현초등학교, 서울도곡초등학교","휘문중학교, 대명중학교","휘문고등학교, 단국대학교부속소프트웨어고등학교",강남구,대치동,단독다가구/주택,2025.10.8 10:44,,,,,,,,,,,,,,,
2552396892,1168010600,다가구,37.499924,127.053581,C03,단독/다가구,전세,B1,25.09.27.,0,0,0,0,0,0,65,60.0,19.66,18.15,남향,3월 4일,"['25년이상', '역세권', '방세개']",한티역6분거리 깔끔한 3룸 3층 넓은면적 주차가능 융자무,한국공인중개사사무소,한경부동산,N,0,0,0,1,0,False,0,0,0,0,0,0,False,False,36000,0,0,36000,36000,0,0,0,0,매매,한티역수인분당선,408,6,"서울도곡초등학교, 서울도성초등학교, 서울대도초등학교","진선여자중학교, 단국대학교사범대학 부속중학교, 역삼중학교","단국대학교사범대학부속고등학교, 단국대학교부속소프트웨어고등학교, 진선여자고등학교",강남구,대치동,단독다가구/주택,2025.10.8 10:44,,,,,,,,,,,,,,,
2552451473,1168010600,빌라,37.498807,127.056325,C02,빌라,매매,A1,25.09.27.,0,0,0,0,0,0,34,29.0,10.29,8.77,북서향,4월 6일,"['10년이내', '역세권', '화장실한개', '소형평수']","한티역인근,2룸,주차가능,엘베유, 풍부한 임대수요, 입주가능,갶투자가능",장원공인중개사사무소,한경부동산,N,0,0,0,1,0,False,0,0,0,0,0,0,False,False,58000,0,0,58000,58000,0,0,0,0,매매,한티역수인분당선,411,6,"서울도곡초등학교, 서울도성초등학교, 서울대도초등학교","단국대학교사범대학 부속중학교, 역삼중학교, 진선여자중학교","단국대학교사범대학부속고등학교, 단국대학교부속소프트웨어고등학교, 중앙대학교사범대학부속고등학교",강남구,대치동,단독다가구/주택,2025.10.8 10:44,,,,,,,,,,,,,,,
