markerId,markerType,latitude,longitude,complexName,realEstateTypeCode,realEstateTypeName,completionYearMonth,totalDongCount,totalHouseholdCount,floorAreaRatio,minArea,maxArea,representativeArea,etRoomCnt,minMviFee,maxMviFee,sameAddrCnt,priceCount,isPresales,photoCount,dealCount,leaseCount,rentCount,shortTermRentCount,totalArticleCount,existPriceTab,isComplexTourExist,매매가,보증금,월세,매매_최저가,매매_최고가,전세_최저가,전세_최고가,월세_최저가,월세_최고가,매매유형,지하철역명,지하철_거리_미터,지하철_도보_분,초등학교,중학교,고등학교,구,동,매물유형,수집시간
26677,COMPLEX,37.51424,127.12047,올림픽공원한승오디브,APT,아파트,200608,1,19,399,244.86,307.99,307,0,0,0,0,1,FALSE,0,2,0,0,0,2,TRUE,FALSE,0,0,0,240000,350000,0,0,0,0,매매,한성백제역9호선,437,6,"서울방이초등학교, 서울방산초등학교","방산중학교, 방이중학교",방산고등학교,송파구,방이동,아파트/오피스텔,2025.10.8 2:38
23915,COMPLEX,37.512779,127.113145,부광,APT,아파트,200404,1,19,237,84.57,84.57,84,0,0,0,0,1,FALSE,0,1,0,0,0,1,TRUE,FALSE,0,0,0,75000,75000,0,0,0,0,매매,송파나루역9호선,200,2,"서울송파초등학교, 서울방이초등학교, 서울방산초등학교","방이중학교, 방산중학교",방산고등학교,송파구,방이동,아파트/오피스텔,2025.10.8 2:38
22403,COMPLEX,37.511404,127.126961,인택파크랜드(주상복합),APT,아파트,200411,1,38,429,140.19,140.19,140,0,0,0,0,1,FALSE,0,1,0,0,0,1,TRUE,FALSE,0,0,0,160000,160000,0,0,0,0,매매,방이역5호선,304,4,"서울오금초등학교, 서울방산초등학교, 서울방이초등학교","세륜중학교, 방산중학교, 오금중학교","방산고등학교, 오금고등학교",송파구,방이동,아파트/오피스텔,2025.10.8 2:38
25006,COMPLEX,37.513547,127.117038,주함위너스,APT,아파트,200405,2,36,298,93.85,93.85,93,0,0,0,0,1,FALSE,0,1,0,0,0,1,TRUE,FALSE,0,0,0,90000,90000,0,0,0,0,매매,한성백제역9호선,336,5,"서울방이초등학교, 서울방산초등학교, 서울송파초등학교","방이중학교, 방산중학교",방산고등학교,송파구,방이동,아파트/오피스텔,2025.10.8 2:38
3429,COMPLEX,37.512483,127.118114,방이금호어울림,APT,아파트,200105,2,144,284,75.28,106.34,75.28,0,0,0,0,0,FALSE,0,0,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,0,0,,한성백제역9호선,474,7,"서울방이초등학교, 서울방산초등학교, 서울송파초등학교","방산중학교, 방이중학교",방산고등학교,송파구,방이동,아파트/오피스텔,2025.10.8 2:38
3552,COMPLEX,37.510012,127.123934,현대(208-19),APT,아파트,199312,1,19,268,152.6,152.6,152,0,0,0,0,1,FALSE,0,2,0,0,0,2,TRUE,FALSE,0,0,0,130000,160000,0,0,0,0,매매,방이역5호선,236,3,"서울방산초등학교, 서울방이초등학교, 서울오금초등학교","방산중학교, 세륜중학교, 오금중학교","방산고등학교, 오금고등학교",송파구,방이동,아파트/오피스텔,2025.10.8 2:38
371,COMPLEX,37.514884,127.11873,올림픽베어스타운,APT,아파트,199604,2,140,0,106.47,106.47,106,0,0,0,0,1,FALSE,0,10,0,0,0,10,TRUE,FALSE,0,0,0,122000,150000,0,0,0,0,매매,한성백제역9호선,272,4,"서울방이초등학교, 서울방산초등학교, 서울잠실초등학교","방이중학교, 방산중학교",방산고등학교,송파구,방이동,아파트/오피스텔,2025.10.8 2:38
612,COMPLEX,37.508844,127.1231,코오롱,APT,아파트,199110,6,758,248,108.31,108.31,108,0,0,0,0,3,FALSE,0,19,18,21,0,58,TRUE,FALSE,0,0,0,199500,230000,75000,95000,40,160,"매매, 전세, 월세",방이역5호선,264,3,"서울방산초등학교, 서울방이초등학교, 서울오금초등학교","방산중학교, 오금중학교, 세륜중학교","방산고등학교, 오금고등학교, 가락고등학교",송파구,방이동,아파트/오피스텔,2025.10.8 2:38
102263,COMPLEX,37.511131,127.126665,제노비아,OPST,오피스텔,201005,1,14,359,90.93,90.93,90,0,0,0,0,2,FALSE,0,0,4,1,0,5,TRUE,FALSE,0,0,0,0,0,40000,44000,30,30,"전세, 월세",방이역5호선,269,4,"서울오금초등학교, 서울방산초등학교, 서울방이초등학교","세륜중학교, 방산중학교, 오금중학교","방산고등학교, 오금고등학교",송파구,방이동,아파트/오피스텔,2025.10.8 2:38
26268,COMPLEX,37.507354,127.121567,아쿠아드카사스,APT,아파트,200410,1,10,194,68.52,68.52,68,0,0,0,0,1,FALSE,0,10,0,0,0,10,TRUE,FALSE,0,0,0,62000,68000,0,0,0,0,매매,방이역5호선,428,6,"서울방산초등학교, 서울방이초등학교, 서울신가초등학교","방산중학교, 가락중학교, 오금중학교","방산고등학교, 가락고등학교, 오금고등학교",송파구,방이동,아파트/오피스텔,2025.10.8 2:38
