단지명,단지코드,세대수,동수,준공년월,최소전용,최대전용,용적률,매매_최저가,매매_최고가,전세_최저가,전세_최고가,월세_최저가,월세_최고가,매매_거래건수,전세_거래건수,월세_거래건수,총_거래건수,전세가율,갭,평당매매가,면적요약,매매_최저가_억원,매매_최고가_억원,전세_최저가_억원,전세_최고가_억원,월세_최저가_억원,월세_최고가_억원,갭_억원,평당매매가_억원,단지요약,구,동,수집시간,단지명_정제,기본주소,상세주소,원본주소,위도,경도,변환방법,사용된주소
잠실대우레이크월드(주상복합),12827,69,1,200211,172.78,203.85,698,0,0,0,0,0,0,0,0,0,0,0.0,0,0,52~62평,,,,,,,,,총 69세대 | 1개동 | 52~62평 | 2002년 준공,송파구,잠실동,2025-09-12 02:18,잠실대우레이크월드,서울 송파구 잠실동,서울 송파구 잠실동 잠실대우레이크월드,서울 송파구 잠실동 잠실대우레이크월드(주상복합),37.51158671197415,127.10820276014033,원본 키워드 검색,서울 송파구 잠실동 잠실대우레이크월드(주상복합)
하이파크,113786,28,1,201609,61.79,61.79,198,78500,78500,0,0,0,0,1,0,0,1,0.0,0,4200,19평,"7억 8,500만","7억 8,500만",,,,,,"4,200만",총 28세대 | 1개동 | 19평 | 2016년 준공,송파구,잠실동,2025-09-12 02:18,하이,서울 송파구 잠실동,서울 송파구 잠실동 하이,서울 송파구 잠실동 하이파크,37.50050620030697,127.08747879648912,원본 키워드 검색,서울 송파구 잠실동 하이파크
잠실시그마타워(주상복합),8972,84,1,199612,204.67,274.55,921,249900,300000,200000,200000,350,600,25,4,3,32,80.0,49900,4036,62~83평,"24억 9,900만",30억,20억,20억,350만,600만,"4억 9,900만","4,036만",총 84세대 | 1개동 | 62~83평 | 1996년 준공,송파구,잠실동,2025-09-12 02:18,잠실시그마,서울 송파구 잠실동,서울 송파구 잠실동 잠실시그마,서울 송파구 잠실동 잠실시그마타워(주상복합),37.51462275760842,127.10251989035393,원본 키워드 검색,서울 송파구 잠실동 잠실시그마타워(주상복합)
잠실아르누보팰리스(주상복합),22805,53,1,200711,174.76,230.18,399,0,0,0,0,0,0,0,0,0,0,0.0,0,0,53~70평,,,,,,,,,총 53세대 | 1개동 | 53~70평 | 2007년 준공,송파구,잠실동,2025-09-12 02:18,잠실아르누보,서울 송파구 잠실동,서울 송파구 잠실동 잠실아르누보,서울 송파구 잠실동 잠실아르누보팰리스(주상복합),37.50908849476169,127.10491011060161,원본 키워드 검색,서울 송파구 잠실동 잠실아르누보팰리스(주상복합)
트윈레이크팰리스빌(도시형),125621,29,2,201804,36.03,36.03,399,38000,38000,0,0,0,0,1,0,0,1,0.0,0,3487,11평,"3억 8,000만","3억 8,000만",,,,,,"3,487만",총 29세대 | 2개동 | 11평 | 2018년 준공,송파구,잠실동,2025-09-12 02:18,트윈레이크팰리스빌,서울 송파구 잠실동,서울 송파구 잠실동 트윈레이크팰리스빌,서울 송파구 잠실동 트윈레이크팰리스빌(도시형),37.5110800084062,127.107587861561,정제된 키워드 검색,서울 송파구 잠실동 트윈레이크팰리스빌
호수,12105,15,1,200012,63.69,63.69,299,65000,65000,0,0,0,0,2,0,0,2,0.0,0,3374,19평,"6억 5,000만","6억 5,000만",,,,,,"3,374만",총 15세대 | 1개동 | 19평 | 2000년 준공,송파구,잠실동,2025-09-12 02:18,호수,서울 송파구 잠실동,서울 송파구 잠실동 호수,서울 송파구 잠실동 호수,37.5076807262772,127.099112837006,원본 키워드 검색,서울 송파구 잠실동 호수
현대레이크빌(주상복합),22351,44,1,199911,37.49,224.01,679,56000,58000,150000,150000,120,120,4,3,1,8,267.9,-94000,4938,11~68평,"5억 6,000만","5억 8,000만",15억,15억,120만,120만,,"4,938만",총 44세대 | 1개동 | 11~68평 | 1999년 준공,송파구,잠실동,2025-09-12 02:18,현대레이크빌,서울 송파구 잠실동,서울 송파구 잠실동 현대레이크빌,서울 송파구 잠실동 현대레이크빌(주상복합),37.51071925176195,127.10698675227415,원본 키워드 검색,서울 송파구 잠실동 현대레이크빌(주상복합)
장미1차,389,2100,21,197901,92.59,212.56,184,288000,500000,55000,85000,80,280,189,30,19,238,19.1,233000,10283,28~64평,"28억 8,000만",50억,"5억 5,000만","8억 5,000만",80만,280만,"23억 3,000만",1억 283만,"총 2,100세대 | 21개동 | 28~64평 | 1979년 준공",송파구,잠실동,2025-09-12 02:18,장미1차,서울 송파구 잠실동,서울 송파구 잠실동 장미1차,서울 송파구 잠실동 장미1차,37.5192852796647,127.099558034998,원본 키워드 검색,서울 송파구 잠실동 장미1차
잠실주공5단지,639,3930,30,197804,112.39,119.0,138,375000,470000,45000,70000,90,250,195,69,21,285,12.0,330000,11030,34~36평,"37억 5,000만",47억,"4억 5,000만",7억,90만,250만,33억,"1억 1,030만","총 3,930세대 | 30개동 | 34~36평 | 1978년 준공",송파구,잠실동,2025-09-12 02:18,잠실주공5단지,서울 송파구 잠실동,서울 송파구 잠실동 잠실주공5단지,서울 송파구 잠실동 잠실주공5단지,37.515521253732864,127.09473215861605,원본 키워드 검색,서울 송파구 잠실동 잠실주공5단지
갤러리아팰리스(주상복합),12236,741,3,200501,156.65,310.7,799,260000,790000,170000,180000,100,580,84,20,27,131,65.4,90000,5487,47~94평,26억,79억,17억,18억,100만,580만,9억,"5,487만",총 741세대 | 3개동 | 47~94평 | 2005년 준공,송파구,잠실동,2025-09-12 02:18,갤러리아,서울 송파구 잠실동,서울 송파구 잠실동 갤러리아,서울 송파구 잠실동 갤러리아팰리스(주상복합),37.511104282507425,127.0939178657084,원본 키워드 검색,서울 송파구 잠실동 갤러리아팰리스(주상복합)
양지473(주상복합),142808,56,1,202102,44.55,44.55,399,0,0,39600,44190,74,74,0,2,1,3,0.0,0,0,13평,,,"3억 9,600만","4억 4,190만",74만,74만,,,총 56세대 | 1개동 | 13평 | 2021년 준공,송파구,잠실동,2025-09-12 02:18,양지473,서울 송파구 잠실동,서울 송파구 잠실동 양지473,서울 송파구 잠실동 양지473(주상복합),37.5082036823143,127.103920361294,정제된 키워드 검색,서울 송파구 잠실동 양지473
더큐비(도시형),112309,16,1,201209,21.63,23.59,357,0,0,0,0,0,0,0,0,0,0,0.0,0,0,7평,,,,,,,,,총 16세대 | 1개동 | 7평 | 2012년 준공,송파구,잠실동,2025-09-12 02:18,더큐비,서울 송파구 잠실동,서울 송파구 잠실동 더큐비,서울 송파구 잠실동 더큐비(도시형),37.505623097367234,127.0885705081914,정제된 키워드 검색,서울 송파구 잠실동 더큐비
다올77(도시형),136703,10,1,202009,23.42,89.18,348,0,0,0,0,0,0,0,0,0,0,0.0,0,0,7~27평,,,,,,,,,총 10세대 | 1개동 | 7~27평 | 2020년 준공,송파구,잠실동,2025-09-12 02:18,다올77,서울 송파구 잠실동,서울 송파구 잠실동 다올77,서울 송파구 잠실동 다올77(도시형),37.5119564733931,127.088282780728,기본 주소,서울 송파구 잠실동
위너스빌(도시형),128247,20,1,201911,38.58,38.58,356,59000,59000,0,0,0,0,1,0,0,1,0.0,0,5056,12평,"5억 9,000만","5억 9,000만",,,,,,"5,056만",총 20세대 | 1개동 | 12평 | 2019년 준공,송파구,잠실동,2025-09-12 02:18,위너스빌,서울 송파구 잠실동,서울 송파구 잠실동 위너스빌,서울 송파구 잠실동 위너스빌(도시형),37.5053393054347,127.087327229857,정제된 키워드 검색,서울 송파구 잠실동 위너스빌
장미3차,622,120,2,198408,157.11,157.11,0,420000,420000,0,0,0,0,3,0,0,3,0.0,0,8837,48평,42억,42억,,,,,,"8,837만",총 120세대 | 2개동 | 48평 | 1984년 준공,송파구,잠실동,2025-09-12 02:18,장미3차,서울 송파구 잠실동,서울 송파구 잠실동 장미3차,서울 송파구 잠실동 장미3차,37.51844666925456,127.1034911442789,원본 키워드 검색,서울 송파구 잠실동 장미3차
굿피플잠실(도시형),124870,25,1,201903,21.94,21.94,359,30000,30000,0,0,0,0,1,0,0,1,0.0,0,4520,7평,3억,3억,,,,,,"4,520만",총 25세대 | 1개동 | 7평 | 2019년 준공,송파구,잠실동,2025-09-12 02:18,굿피플잠실,서울 송파구 잠실동,서울 송파구 잠실동 굿피플잠실,서울 송파구 잠실동 굿피플잠실(도시형),37.5051233985951,127.088090385242,정제된 키워드 검색,서울 송파구 잠실동 굿피플잠실
루컴스힐더테라스(도시형),174640,25,3,202410,71.63,71.79,273,111700,144000,0,0,0,0,2,0,0,2,0.0,0,5155,22평,"11억 1,700만","14억 4,000만",,,,,,"5,155만",총 25세대 | 3개동 | 22평 | 2024년 준공,송파구,잠실동,2025-09-12 02:18,루컴스힐더테라스,서울 송파구 잠실동,서울 송파구 잠실동 루컴스힐더테라스,서울 송파구 잠실동 루컴스힐더테라스(도시형),37.5119564733931,127.088282780728,기본 주소,서울 송파구 잠실동
파크인수(주상복합),26705,24,1,201003,186.62,186.62,356,0,0,0,0,0,0,0,0,0,0,0.0,0,0,56평,,,,,,,,,총 24세대 | 1개동 | 56평 | 2010년 준공,송파구,잠실동,2025-09-12 02:18,파크인수,서울 송파구 잠실동,서울 송파구 잠실동 파크인수,서울 송파구 잠실동 파크인수(주상복합),37.504759649585196,127.08774501271435,정제된 키워드 검색,서울 송파구 잠실동 파크인수
잠실한솔,3751,393,7,200010,77.33,109.73,336,150000,190000,0,0,0,0,17,0,0,17,0.0,0,6412,23~33평,15억,19억,,,,,,"6,412만",총 393세대 | 7개동 | 23~33평 | 2000년 준공,송파구,잠실동,2025-09-12 02:18,잠실한솔,서울 송파구 잠실동,서울 송파구 잠실동 잠실한솔,서울 송파구 잠실동 잠실한솔,37.50361422534689,127.10464459361582,원본 키워드 검색,서울 송파구 잠실동 잠실한솔
"웰리스타워,삼성웰리스(주상복합)",3752,60,1,199605,179.68,230.33,848,200000,250000,130000,140000,500,600,16,3,2,21,65.0,70000,3680,54~70평,20억,25억,13억,14억,500만,600만,7억,"3,680만",총 60세대 | 1개동 | 54~70평 | 1996년 준공,송파구,잠실동,2025-09-12 02:18,"웰리스타워,삼성웰리스",서울 송파구 잠실동,"서울 송파구 잠실동 웰리스타워,삼성웰리스","서울 송파구 잠실동 웰리스타워,삼성웰리스(주상복합)",37.5152974938508,127.0994939187,정제된 키워드 검색,"서울 송파구 잠실동 웰리스타워,삼성웰리스"
롯데캐슬골드(주상복합),12951,400,2,200511,190.48,312.96,646,289000,1000000,165000,450000,590,1000,76,34,7,117,57.1,124000,5016,58~95평,"28억 9,000만",100억,"16억 5,000만",45억,590만,"1,000만","12억 4,000만","5,016만",총 400세대 | 2개동 | 58~95평 | 2005년 준공,송파구,잠실동,2025-09-12 02:18,롯데캐슬골드,서울 송파구 잠실동,서울 송파구 잠실동 롯데캐슬골드,서울 송파구 잠실동 롯데캐슬골드(주상복합),37.5148433880375,127.10161077193,원본 키워드 검색,서울 송파구 잠실동 롯데캐슬골드(주상복합)
석촌호수효성해링턴타워(도시형),110709,257,1,201508,29.37,61.5,399,22200,30500,24000,42000,92,115,25,2,3,30,108.1,-1800,2499,9~19평,"2억 2,200만",3억 500만,"2억 4,000만","4억 2,000만",92만,115만,,"2,499만",총 257세대 | 1개동 | 9~19평 | 2015년 준공,송파구,잠실동,2025-09-12 02:18,석촌호수효성해링턴,서울 송파구 잠실동,서울 송파구 잠실동 석촌호수효성해링턴,서울 송파구 잠실동 석촌호수효성해링턴타워(도시형),37.50651005002503,127.10050014986251,정제된 키워드 검색,서울 송파구 잠실동 석촌호수효성해링턴
우성4차,637,555,7,198308,89.29,127.42,194,220000,280000,65000,65000,130,130,31,2,1,34,29.5,155000,8145,27~39평,22억,28억,"6억 5,000만","6억 5,000만",130만,130만,"15억 5,000만","8,145만",총 555세대 | 7개동 | 27~39평 | 1983년 준공,송파구,잠실동,2025-09-12 02:18,우성4차,서울 송파구 잠실동,서울 송파구 잠실동 우성4차,서울 송파구 잠실동 우성4차,37.502807946126055,127.08293058644371,원본 키워드 검색,서울 송파구 잠실동 우성4차
크로바,1284,120,2,198308,142.15,142.15,0,387000,1080000,80000,210000,100,400,13,16,8,37,20.7,307000,9000,43평,"38억 7,000만",108억,8억,21억,100만,400만,"30억 7,000만","9,000만",총 120세대 | 2개동 | 43평 | 1983년 준공,송파구,잠실동,2025-09-12 02:18,크로바,서울 송파구 잠실동,서울 송파구 잠실동 크로바,서울 송파구 잠실동 크로바,37.5130431024709,127.1154280188486,원본 키워드 검색,서울 송파구 잠실동 크로바
로얄(주상복합),22498,12,1,200301,40.24,49.55,285,0,0,0,0,0,0,0,0,0,0,0.0,0,0,12~15평,,,,,,,,,총 12세대 | 1개동 | 12~15평 | 2003년 준공,송파구,가락동,2025-09-12 02:21,로얄,서울 송파구 가락동,서울 송파구 가락동 로얄,서울 송파구 가락동 로얄(주상복합),37.497528664486374,127.11998524198361,원본 키워드 검색,서울 송파구 가락동 로얄(주상복합)
프라임2차,14287,8,1,200902,82.46,82.46,193,0,0,0,0,0,0,0,0,0,0,0.0,0,0,25평,,,,,,,,,총 8세대 | 1개동 | 25평 | 2009년 준공,송파구,가락동,2025-09-12 02:21,프라임2차,서울 송파구 가락동,서울 송파구 가락동 프라임2차,서울 송파구 가락동 프라임2차,37.49319253225345,127.13465260369323,원본 키워드 검색,서울 송파구 가락동 프라임2차
은성파크,105712,12,1,199912,78.81,87.86,316,0,0,0,0,0,0,0,0,0,0,0.0,0,0,24~27평,,,,,,,,,총 12세대 | 1개동 | 24~27평 | 1999년 준공,송파구,가락동,2025-09-12 02:21,은성,서울 송파구 가락동,서울 송파구 가락동 은성,서울 송파구 가락동 은성파크,37.48724432057802,127.12543348031282,원본 키워드 검색,서울 송파구 가락동 은성파크
프라임,22131,12,1,200402,77.07,94.8,297,0,0,0,0,0,0,0,0,0,0,0.0,0,0,23~29평,,,,,,,,,총 12세대 | 1개동 | 23~29평 | 2004년 준공,송파구,가락동,2025-09-12 02:21,프라임,서울 송파구 가락동,서울 송파구 가락동 프라임,서울 송파구 가락동 프라임,37.494238633315,127.117753416165,원본 키워드 검색,서울 송파구 가락동 프라임
엠카운티(도시형),135658,28,3,201806,41.16,62.97,196,0,0,0,0,0,0,0,0,0,0,0.0,0,0,12~19평,,,,,,,,,총 28세대 | 3개동 | 12~19평 | 2018년 준공,송파구,가락동,2025-09-12 02:21,엠카운티,서울 송파구 가락동,서울 송파구 가락동 엠카운티,서울 송파구 가락동 엠카운티(도시형),37.48838832400652,127.12737570937105,정제된 키워드 검색,서울 송파구 가락동 엠카운티
트윈팰리스,26830,37,2,200611,103.39,250.13,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,31~76평,,,,,,,,,총 37세대 | 2개동 | 31~76평 | 2006년 준공,송파구,가락동,2025-09-12 02:21,트윈,서울 송파구 가락동,서울 송파구 가락동 트윈,서울 송파구 가락동 트윈팰리스,37.48562591088029,127.13222728449153,원본 키워드 검색,서울 송파구 가락동 트윈팰리스
금홍해오름,120831,6,1,200402,85.86,85.86,295,70000,70000,0,0,0,0,2,0,0,2,0.0,0,2695,26평,7억,7억,,,,,,"2,695만",총 6세대 | 1개동 | 26평 | 2004년 준공,송파구,가락동,2025-09-12 02:21,금홍해오름,서울 송파구 가락동,서울 송파구 가락동 금홍해오름,서울 송파구 가락동 금홍해오름,37.4965792385255,127.13401523409864,원본 키워드 검색,서울 송파구 가락동 금홍해오름
크로바,9174,14,1,199204,184.5,184.5,0,115000,115000,0,0,0,0,2,0,0,2,0.0,0,2061,56평,"11억 5,000만","11억 5,000만",,,,,,"2,061만",총 14세대 | 1개동 | 56평 | 1992년 준공,송파구,가락동,2025-09-12 02:21,크로바,서울 송파구 가락동,서울 송파구 가락동 크로바,서울 송파구 가락동 크로바,37.4991537453259,127.111114935313,원본 키워드 검색,서울 송파구 가락동 크로바
문정그린,105921,12,1,200112,85.09,85.09,286,70000,70000,0,0,0,0,1,0,0,1,0.0,0,2720,26평,7억,7억,,,,,,"2,720만",총 12세대 | 1개동 | 26평 | 2001년 준공,송파구,가락동,2025-09-12 02:21,문정그린,서울 송파구 가락동,서울 송파구 가락동 문정그린,서울 송파구 가락동 문정그린,37.4863615313062,127.133475731853,원본 키워드 검색,서울 송파구 가락동 문정그린
문정푸르지오2차,9145,165,2,200105,80.08,80.08,345,100000,108000,0,0,0,0,5,0,0,5,0.0,0,4128,24평,10억,"10억 8,000만",,,,,,"4,128만",총 165세대 | 2개동 | 24평 | 2001년 준공,송파구,가락동,2025-09-12 02:21,문정푸르지오2차,서울 송파구 가락동,서울 송파구 가락동 문정푸르지오2차,서울 송파구 가락동 문정푸르지오2차,37.48684048624714,127.12728940974272,원본 키워드 검색,서울 송파구 가락동 문정푸르지오2차
현대1차,365,514,8,198411,102.73,144.34,179,180000,210000,60000,60000,0,0,17,1,0,18,33.3,120000,5792,31~44평,18억,21억,6억,6억,,,12억,"5,792만",총 514세대 | 8개동 | 31~44평 | 1984년 준공,송파구,가락동,2025-09-12 02:21,현대1차,서울 송파구 가락동,서울 송파구 가락동 현대1차,서울 송파구 가락동 현대1차,37.491568048968325,127.12814324666091,원본 키워드 검색,서울 송파구 가락동 현대1차
아키죤,26678,24,2,200211,86.83,86.83,0,80000,95000,0,0,0,0,18,0,0,18,0.0,0,3046,26평,8억,"9억 5,000만",,,,,,"3,046만",총 24세대 | 2개동 | 26평 | 2002년 준공,송파구,가락동,2025-09-12 02:21,아키죤,서울 송파구 가락동,서울 송파구 가락동 아키죤,서울 송파구 가락동 아키죤,37.49073725945018,127.12137538439023,원본 키워드 검색,서울 송파구 가락동 아키죤
동부썬빌(주상복합),21884,26,1,199812,168.97,168.97,785,135000,135000,0,0,0,0,1,0,0,1,0.0,0,2641,51평,"13억 5,000만","13억 5,000만",,,,,,"2,641만",총 26세대 | 1개동 | 51평 | 1998년 준공,송파구,가락동,2025-09-12 02:21,동부썬빌,서울 송파구 가락동,서울 송파구 가락동 동부썬빌,서울 송파구 가락동 동부썬빌(주상복합),37.49339693389009,127.11970497942615,원본 키워드 검색,서울 송파구 가락동 동부썬빌(주상복합)
문정동아,3544,78,1,199708,75.01,110.29,267,70000,100000,75000,75000,0,0,12,1,0,13,107.1,-5000,3085,23~33평,7억,10억,"7억 5,000만","7억 5,000만",,,,"3,085만",총 78세대 | 1개동 | 23~33평 | 1997년 준공,송파구,가락동,2025-09-12 02:21,문정동아,서울 송파구 가락동,서울 송파구 가락동 문정동아,서울 송파구 가락동 문정동아,37.48765372272505,127.12846672729692,원본 키워드 검색,서울 송파구 가락동 문정동아
가락대림,595,443,4,198811,73.93,141.31,0,115000,170000,80000,85000,0,0,37,2,0,39,69.6,35000,5142,22~43평,"11억 5,000만",17억,8억,"8억 5,000만",,,"3억 5,000만","5,142만",총 443세대 | 4개동 | 22~43평 | 1988년 준공,송파구,가락동,2025-09-12 02:21,가락대림,서울 송파구 가락동,서울 송파구 가락동 가락대림,서울 송파구 가락동 가락대림,37.49948885604415,127.118593993627,원본 키워드 검색,서울 송파구 가락동 가락대림
문정한전현대,366,120,1,199309,100.68,100.68,399,108000,108000,0,0,0,0,1,0,0,1,0.0,0,3546,30평,"10억 8,000만","10억 8,000만",,,,,,"3,546만",총 120세대 | 1개동 | 30평 | 1993년 준공,송파구,가락동,2025-09-12 02:21,문정한전현대,서울 송파구 가락동,서울 송파구 가락동 문정한전현대,서울 송파구 가락동 문정한전현대,37.485667071779645,127.12588989912027,원본 키워드 검색,서울 송파구 가락동 문정한전현대
송파성원상떼빌(주상복합),12948,324,2,200606,113.32,182.06,545,105000,195000,80000,120000,300,300,38,6,1,45,76.2,25000,3063,34~55평,"10억 5,000만","19억 5,000만",8억,12억,300만,300만,"2억 5,000만","3,063만",총 324세대 | 2개동 | 34~55평 | 2006년 준공,송파구,가락동,2025-09-12 02:21,송파성원상떼빌,서울 송파구 가락동,서울 송파구 가락동 송파성원상떼빌,서울 송파구 가락동 송파성원상떼빌(주상복합),37.495064853896295,127.12043702114713,정제된 키워드 검색,서울 송파구 가락동 송파성원상떼빌
올림픽훼밀리타운,610,4494,56,198812,103.12,219.66,194,250000,465000,72000,120000,100,160,257,72,12,341,28.8,178000,8014,31~66평,25억,"46억 5,000만","7억 2,000만",12억,100만,160만,"17억 8,000만","8,014만","총 4,494세대 | 56개동 | 31~66평 | 1988년 준공",송파구,가락동,2025-09-12 02:21,올림픽훼밀리타운,서울 송파구 가락동,서울 송파구 가락동 올림픽훼밀리타운,서울 송파구 가락동 올림픽훼밀리타운,37.48907179365075,127.11548723573253,원본 키워드 검색,서울 송파구 가락동 올림픽훼밀리타운
예원빌(도시형),150841,26,3,202206,31.89,64.78,199,0,0,0,0,0,0,0,0,0,0,0.0,0,0,10~20평,,,,,,,,,총 26세대 | 3개동 | 10~20평 | 2022년 준공,송파구,가락동,2025-09-12 02:21,예원빌,서울 송파구 가락동,서울 송파구 가락동 예원빌,서울 송파구 가락동 예원빌(도시형),37.4965421665627,127.105729381413,기본 주소,서울 송파구 가락동
정원빌리지(도시형),134766,18,2,201812,30.66,57.43,193,0,0,0,0,0,0,0,0,0,0,0.0,0,0,9~17평,,,,,,,,,총 18세대 | 2개동 | 9~17평 | 2018년 준공,송파구,가락동,2025-09-12 02:21,정원,서울 송파구 가락동,서울 송파구 가락동 정원,서울 송파구 가락동 정원빌리지(도시형),37.49887334869328,127.1122623616751,정제된 키워드 검색,서울 송파구 가락동 정원
선경쉐르빌(106-15),26686,12,1,200209,97.81,97.81,290,80000,80000,0,0,0,0,3,0,0,3,0.0,0,2704,30평,8억,8억,,,,,,"2,704만",총 12세대 | 1개동 | 30평 | 2002년 준공,송파구,가락동,2025-09-12 02:21,선경쉐르빌,서울 송파구 가락동,서울 송파구 가락동 선경쉐르빌,서울 송파구 가락동 선경쉐르빌(106-15),37.48631205883593,127.1293508901034,정제된 키워드 검색,서울 송파구 가락동 선경쉐르빌
가락현대TWELVE,22331,38,2,200501,99.91,147.38,291,95000,110000,0,0,0,0,19,0,0,19,0.0,0,3143,30~45평,"9억 5,000만",11억,,,,,,"3,143만",총 38세대 | 2개동 | 30~45평 | 2005년 준공,송파구,가락동,2025-09-12 02:21,가락현대TWELVE,서울 송파구 가락동,서울 송파구 가락동 가락현대TWELVE,서울 송파구 가락동 가락현대TWELVE,37.49213170191894,127.13176269539895,원본 키워드 검색,서울 송파구 가락동 가락현대TWELVE
삼성베네스트(도시형),124498,10,1,201812,25.12,51.32,249,0,0,0,0,0,0,0,0,0,0,0.0,0,0,8~16평,,,,,,,,,총 10세대 | 1개동 | 8~16평 | 2018년 준공,송파구,가락동,2025-09-12 02:21,삼성베네스트,서울 송파구 가락동,서울 송파구 가락동 삼성베네스트,서울 송파구 가락동 삼성베네스트(도시형),37.49860456825987,127.1198840538501,정제된 키워드 검색,서울 송파구 가락동 삼성베네스트
문정역마에스트로(주상복합),171543,438,1,202401,25.04,53.3,786,0,0,0,0,0,0,0,0,0,0,0.0,0,0,8~16평,,,,,,,,,총 438세대 | 1개동 | 8~16평 | 2024년 준공,송파구,가락동,2025-09-12 02:21,문정역마에스트로,서울 송파구 가락동,서울 송파구 가락동 문정역마에스트로,서울 송파구 가락동 문정역마에스트로(주상복합),37.48635929604074,127.12308694981363,정제된 키워드 검색,서울 송파구 가락동 문정역마에스트로
강남팰리스(도시형),142111,10,1,202102,55.11,61.18,249,65000,72000,0,0,0,0,5,0,0,5,0.0,0,3899,17~19평,"6억 5,000만","7억 2,000만",,,,,,"3,899만",총 10세대 | 1개동 | 17~19평 | 2021년 준공,송파구,가락동,2025-09-12 02:21,강남,서울 송파구 가락동,서울 송파구 가락동 강남,서울 송파구 가락동 강남팰리스(도시형),37.492998118901454,127.12461310215195,정제된 키워드 검색,서울 송파구 가락동 강남
성해,24428,19,1,200311,86.55,123.98,299,80000,98000,0,0,0,0,13,0,0,13,0.0,0,3056,26~38평,8억,"9억 8,000만",,,,,,"3,056만",총 19세대 | 1개동 | 26~38평 | 2003년 준공,송파구,가락동,2025-09-12 02:21,성해,서울 송파구 가락동,서울 송파구 가락동 성해,서울 송파구 가락동 성해,37.4901556968127,127.120899529588,원본 키워드 검색,서울 송파구 가락동 성해
로즈힐,102662,29,2,200902,112.14,112.14,0,93000,93000,0,0,0,0,1,0,0,1,0.0,0,2742,34평,"9억 3,000만","9억 3,000만",,,,,,"2,742만",총 29세대 | 2개동 | 34평 | 2009년 준공,송파구,가락동,2025-09-12 02:21,로즈,서울 송파구 가락동,서울 송파구 가락동 로즈,서울 송파구 가락동 로즈힐,37.492285363432195,127.12294967258089,원본 키워드 검색,서울 송파구 가락동 로즈힐
GS프라자,1195,18,1,199207,169.02,169.02,0,105000,140000,0,0,0,0,6,0,0,6,0.0,0,2054,51평,"10억 5,000만",14억,,,,,,"2,054만",총 18세대 | 1개동 | 51평 | 1992년 준공,송파구,가락동,2025-09-12 02:21,GS프라자,서울 송파구 가락동,서울 송파구 가락동 GS프라자,서울 송파구 가락동 GS프라자,37.4930195671306,127.132234663826,원본 키워드 검색,서울 송파구 가락동 GS프라자
송파N-Suite(주상복합),17407,31,1,200507,125.4,150.83,560,0,0,0,0,0,0,0,0,0,0,0.0,0,0,38~46평,,,,,,,,,총 31세대 | 1개동 | 38~46평 | 2005년 준공,송파구,가락동,2025-09-12 02:21,송파N-Suite,서울 송파구 가락동,서울 송파구 가락동 송파N-Suite,서울 송파구 가락동 송파N-Suite(주상복합),37.49537016756115,127.12144168469162,원본 키워드 검색,서울 송파구 가락동 송파N-Suite(주상복합)
문정푸르지오1차,361,233,4,199910,111.14,111.14,308,120000,135000,0,0,0,0,4,0,0,4,0.0,0,3569,34평,12억,"13억 5,000만",,,,,,"3,569만",총 233세대 | 4개동 | 34평 | 1999년 준공,송파구,가락동,2025-09-12 02:21,문정푸르지오1차,서울 송파구 가락동,서울 송파구 가락동 문정푸르지오1차,서울 송파구 가락동 문정푸르지오1차,37.48687925060397,127.12810357783181,원본 키워드 검색,서울 송파구 가락동 문정푸르지오1차
SK허브파크(주상복합),9562,94,1,200312,111.83,144.28,593,110000,150000,0,0,0,0,10,0,0,10,0.0,0,3252,34~44평,11억,15억,,,,,,"3,252만",총 94세대 | 1개동 | 34~44평 | 2003년 준공,송파구,가락동,2025-09-12 02:21,SK허브,서울 송파구 가락동,서울 송파구 가락동 SK허브,서울 송파구 가락동 SK허브파크(주상복합),37.49797282088963,127.13425633697337,원본 키워드 검색,서울 송파구 가락동 SK허브파크(주상복합)
그랜드,10211,18,1,200212,77.63,77.63,288,78000,78000,0,0,0,0,2,0,0,2,0.0,0,3322,23평,"7억 8,000만","7억 8,000만",,,,,,"3,322만",총 18세대 | 1개동 | 23평 | 2002년 준공,송파구,가락동,2025-09-12 02:21,그랜드,서울 송파구 가락동,서울 송파구 가락동 그랜드,서울 송파구 가락동 그랜드,37.494290637823006,127.12670724701518,원본 키워드 검색,서울 송파구 가락동 그랜드
에스아이팰리스송파포레(도시형),149133,63,1,202308,38.29,48.03,0,0,0,0,0,210,230,0,0,16,16,0.0,0,0,12~15평,,,,,210만,230만,,,총 63세대 | 1개동 | 12~15평 | 2023년 준공,송파구,가락동,2025-09-12 02:21,에스아이팰리스송파포레,서울 송파구 가락동,서울 송파구 가락동 에스아이팰리스송파포레,서울 송파구 가락동 에스아이팰리스송파포레(도시형),37.4970391143618,127.132896513646,정제된 키워드 검색,서울 송파구 가락동 에스아이팰리스송파포레
현대,367,120,1,199109,88.77,88.77,270,80000,80000,0,0,0,0,1,0,0,1,0.0,0,2979,27평,8억,8억,,,,,,"2,979만",총 120세대 | 1개동 | 27평 | 1991년 준공,송파구,가락동,2025-09-12 02:21,현대,서울 송파구 가락동,서울 송파구 가락동 현대,서울 송파구 가락동 현대,37.5001405366352,127.126176562193,원본 키워드 검색,서울 송파구 가락동 현대
